,file,PCount,kp_100_predict10,kp_100_predict20,kp_100_predict30,kp_100_predict50,kp_100_quality,,kp_100_time,kp_300_predict10,kp_300_predict20,kp_300_predict30,kp_300_predict50,kp_300_quality,kp_300_time,kp_500_predict10,kp_500_predict20,kp_500_predict30,kp_500_predict50,kp_500_quality,kp_500_time,kp_50_predict10,kp_50_predict20,kp_50_predict30,kp_50_predict50,kp_50_quality,kp_50_time,kp_700_predict10,kp_700_predict20,kp_700_predict30,kp_700_predict50,kp_700_quality,kp_700_time,kp_900_predict10,kp_900_predict20,kp_900_predict30,kp_900_predict50,kp_900_quality,kp_900_time
11,./imagesbooks/ukbench05964.jpg,,100,100,100,100,13,1.3,3.99082517623901,100,100,100,100,10,11.4389519691467,100,100,100,100,10,18.8539500236511,100,100,100,100,14,2.16773128509521,100,100,100,100,10,26.2355811595917,100,100,100,100,10,30.4135687351227
12,./imagesbooks/ukbench10164.jpg,,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,4,0.4,3.97260475158691,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,4,11.7821395397186,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,4,18.998325586319,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,4,2.12187266349792,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,4,26.38059258461,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,4,34.0967752933502
13,./imagesbooks/ukbench02750.jpg,,100,100,100,100,10,1,3.97241282463074,100,100,100,100,17,11.4035978317261,100,100,100,100,21,18.9102680683136,100,100,100,100,10,2.08955645561218,100,100,100,100,25,26.1378443241119,100,100,100,100,28,33.7357566356659
14,./imagesbooks/ukbench05951.jpg,,100,100,100,100,10,1,3.99875545501709,100,100,100,100,10,11.4955668449402,100,100,100,100,13,18.8981323242188,100,100,100,100,10,2.25226807594299,100,100,100,100,13,26.1327674388885,100,100,100,100,10,33.741400718689
15,./imagesbooks/ukbench05983.jpg,,100,100,100,100,10,1,3.9826557636261,100,100,100,100,10,11.4543085098267,100,100,100,100,10,19.0618524551392,100,100,100,100,25,2.03998160362244,100,100,100,100,10,26.0900421142578,100,100,100,100,10,34.03533411026
16,./imagesbooks/ukbench03867.jpg,,100,100,100,100,10,1,4.06782627105713,100,100,100,100,10,11.4965488910675,100,100,100,100,10,18.8498647212982,100,100,100,100,10,2.12542295455933,100,100,100,100,10,26.3064966201782,100,100,100,100,10,33.7164843082428
17,./imagesbooks/ukbench05883.jpg,,100,100,100,100,10,1,3.97267007827759,100,100,100,100,10,11.6177990436554,100,100,100,100,10,18.8548197746277,100,100,100,100,10,2.16808223724365,100,100,100,100,10,26.5062651634216,100,100,100,100,10,26.2564241886139
18,./imagesbooks/ukbench06049.jpg,,100,100,100,100,10,1,4.06784081459045,100,100,100,100,10,11.4946582317352,100,100,100,100,10,15.3822000026703,100,100,100,100,10,2.12041473388672,100,100,100,100,10,15.5295774936676,100,100,100,100,10,15.4121468067169
19,./imagesbooks/ukbench06017.jpg,,100,100,100,100,10,1,3.95453596115112,100,100,100,100,10,11.5525462627411,100,100,100,100,10,14.3047144412994,100,100,100,100,10,2.04447984695435,100,100,100,100,10,14.2925343513489,100,100,100,100,10,14.3220970630646
20,./imagesbooks/ukbench06150.jpg,,33.3333333333333,66.6666666666667,100,100,77,7.7,3.93969941139221,100,100,100,100,10,11.3379182815552,100,100,100,100,10,13.0043382644653,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,6,2.06310367584229,100,100,100,100,10,13.2561635971069,100,100,100,100,10,12.9304583072662
